fecha,Precios al Consumidor (INPC),Subyacente,"Subyacente, Mercancias","Subyacente, Servicios","Subyacente, Servicios, Vivienda","Subyacente, Servicios, Educacion (colegiaturas)","Subyacente, Servicios, Otros servicios",No subyacente,"No subyacente, Agropecuarios","No subyacente, Agropecuarios, Frutas y verduras","No subyacente, Agropecuarios, Pecuarios","No subyacente, Energeticos y tarifas autorizadas por el gobierno","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Energeticos","No subyacente, Energeticos y tarifas autorizadas por el gobierno, Tarifas autorizadas por el gobierno"
01/11/2014,86.74499669,87.98980556,85.96043524,89.76731882,91.49472758,86.823183,88.90805347,83.14177579,83.87811661,75.62565667,89.03763144,82.70850778,81.3780842,85.40564924
15/11/2014,86.7833103,87.9886812,85.87935229,89.83622972,91.57477993,86.82321277,88.98689185,83.29526823,84.53541493,76.43921795,89.59723269,82.56555736,81.12642595,85.48308007
01/12/2014,87.14315764,88.17284767,86.05092293,90.0314288,91.66369507,86.82321277,89.35164997,84.16281182,86.60227411,80.86569417,90.18883732,82.72741538,81.35939467,85.50077677
15/12/2014,87.23556103,88.21414921,86.10704304,90.05975083,91.732159,86.82321277,89.34757249,84.40468228,87.40058254,81.18104874,91.289093,82.64187391,81.19529287,85.57449912
01/01/2015,87.07254042,88.13321361,86.2881335,89.74930818,91.82983289,87.01209748,88.46362604,84.00360005,86.04811358,76.43646962,92.05740292,82.80059418,81.21938613,86.00614605
15/01/2015,87.14691388,88.19564284,86.24378695,89.90526168,91.93209736,87.35960406,88.61526527,84.11337698,86.60471631,76.96998228,92.62844177,82.64745572,80.87868554,86.23324863
01/02/2015,87.23856602,88.44198025,86.55662545,90.09335119,92.0208407,87.4755381,88.92764542,83.75653411,85.76002909,74.37153848,92.8802195,82.57766385,80.74962688,86.28360714
15/02/2015,87.31143699,88.48637261,86.54019964,90.19101381,92.10926894,87.5256439,89.04952701,83.91211626,85.38162156,73.50037152,92.80988975,83.04744921,81.29375135,86.60268628
01/03/2015,87.46844762,88.61676072,86.65402386,90.33591014,92.1785918,87.54767476,89.31004905,84.14502221,85.2616612,73.72041333,92.47735688,83.48798413,81.94831046,86.60933418
15/03/2015,87.79223511,88.77556059,86.69398943,90.59879625,92.27161976,87.54767476,89.82870133,84.94837377,87.1415363,77.58436189,93.11677077,83.6579018,82.18663108,86.64057992
01/04/2015,87.3963279,88.79842225,86.89861531,90.46245172,92.36923209,87.56130305,89.40584257,83.33869153,86.67247078,75.78237093,93.48106264,81.37707282,78.77438702,86.6534464
